,pureza,entropia,silhueta,n_groups
0.5,0.8963093145869947,0.4805167112255391,0.34376269886227817,2.0
0.51,0.8945518453427066,0.4759388704934752,0.35375028095189864,2.0
0.52,0.8945518453427066,0.4759388704934752,0.35375028095189864,2.0
0.53,0.8945518453427066,0.4759388704934752,0.35375028095189864,2.0
0.54,0.9033391915641477,0.4250636976355626,0.33148592149803907,3.0
0.55,0.8945518453427066,0.4759388704934752,0.35375028095189864,2.0
0.56,0.8945518453427066,0.4759388704934752,0.35375028095189864,2.0
0.57,0.8945518453427066,0.4759388704934752,0.35375028095189864,2.0
0.58,0.8945518453427066,0.4759388704934752,0.35375028095189864,2.0
0.59,0.8945518453427066,0.4759388704934752,0.35375028095189864,2.0
0.6,0.8945518453427066,0.4759388704934752,0.35375028095189864,2.0
0.61,0.8629173989455184,0.540868698199073,0.3565109940541621,2.0
0.62,0.8629173989455184,0.540868698199073,0.3565109940541621,2.0
0.63,0.8804920913884007,0.4313038027499103,0.29031731692652446,3.0
0.64,0.8804920913884007,0.4313038027499103,0.29031731692652446,3.0
0.65,0.8787346221441125,0.5048249324171777,0.3648160302641517,2.0
0.66,0.8787346221441125,0.5048249324171777,0.3648160302641517,2.0
0.67,0.8787346221441125,0.5048249324171777,0.3648160302641517,2.0
0.68,0.8787346221441125,0.5048249324171777,0.3648160302641517,2.0
0.69,0.8787346221441125,0.5048249324171777,0.3648160302641517,2.0
0.7,0.8787346221441125,0.5048249324171777,0.3648160302641517,2.0
0.71,0.8787346221441125,0.5048249324171777,0.3648160302641517,2.0
0.72,0.8787346221441125,0.5048249324171777,0.3648160302641517,2.0
0.73,0.8945518453427066,0.4759388704934752,0.35375028095189864,2.0
0.74,0.8945518453427066,0.4759388704934752,0.35375028095189864,2.0
0.75,0.8963093145869947,0.4805167112255391,0.34376269886227817,2.0
0.76,0.8910369068541301,0.4957798626495351,0.3491337093300297,2.0
0.77,0.8963093145869947,0.4805167112255391,0.34376269886227817,2.0
0.78,0.8910369068541301,0.4957798626495351,0.3491337093300297,2.0
0.79,0.8963093145869947,0.4805167112255391,0.34376269886227817,2.0
0.8,0.8910369068541301,0.4957798626495351,0.3491337093300297,2.0
0.81,0.8963093145869947,0.4805167112255391,0.34376269886227817,2.0
0.82,0.8963093145869947,0.4805167112255391,0.34376269886227817,2.0
0.83,0.8963093145869947,0.4805167112255391,0.34376269886227817,2.0
0.84,0.8963093145869947,0.4805167112255391,0.34376269886227817,2.0
0.85,0.8963093145869947,0.4805167112255391,0.34376269886227817,2.0
0.86,0.8910369068541301,0.4957798626495351,0.3491337093300297,2.0
0.87,0.8910369068541301,0.4957798626495351,0.3491337093300297,2.0
0.88,0.8963093145869947,0.4805167112255391,0.34376269886227817,2.0
0.89,0.8963093145869947,0.4805167112255391,0.34376269886227817,2.0
0.9,0.8963093145869947,0.4805167112255391,0.34376269886227817,2.0
0.91,0.8963093145869947,0.4805167112255391,0.34376269886227817,2.0
0.92,0.8945518453427066,0.4759388704934752,0.35375028095189864,2.0
0.93,0.8963093145869947,0.4805167112255391,0.34376269886227817,2.0
0.94,0.8963093145869947,0.4805167112255391,0.34376269886227817,2.0
0.95,0.8945518453427066,0.4759388704934752,0.35375028095189864,2.0
