,pureza,entropia,silhueta,n_groups
0.5,0.9044943820224719,0.3816791510160307,0.26597740204536807,3.0
0.51,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.52,0.9494382022471909,0.2759439909575485,0.28025855860553084,3.0
0.53,0.9494382022471909,0.2759439909575485,0.28025855860553084,3.0
0.54,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.55,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.56,0.8932584269662922,0.48077692959775054,0.25657732861937266,3.0
0.57,0.8932584269662922,0.48077692959775054,0.25657732861937266,3.0
0.58,0.9157303370786517,0.37966593447483976,0.2733564958979598,3.0
0.59,0.9157303370786517,0.37966593447483976,0.2733564958979598,3.0
0.6,0.9494382022471909,0.2759439909575485,0.28025855860553084,3.0
0.61,0.9157303370786517,0.37966593447483976,0.2733564958979598,3.0
0.62,0.9494382022471909,0.2759439909575485,0.28025855860553084,3.0
0.63,0.9157303370786517,0.37966593447483976,0.2733564958979598,3.0
0.64,0.9157303370786517,0.37966593447483976,0.2733564958979598,3.0
0.65,0.9157303370786517,0.37966593447483976,0.2733564958979598,3.0
0.66,0.9157303370786517,0.37966593447483976,0.2733564958979598,3.0
0.67,0.9157303370786517,0.37966593447483976,0.2733564958979598,3.0
0.68,0.9044943820224719,0.3816791510160307,0.26597740204536807,3.0
0.69,0.8820224719101123,0.5335198960335006,0.26105596383637997,3.0
0.7,0.8820224719101123,0.5335198960335006,0.26105596383637997,3.0
0.71,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.72,0.9157303370786516,0.4134355357280437,0.2664900251687616,3.0
0.73,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.74,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.75,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.76,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.77,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.78,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.79,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.8,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.81,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.82,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.83,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.84,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.85,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.86,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.87,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.88,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.89,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.9,0.9101123595505618,0.341926025489301,0.26762205757857555,3.0
0.91,0.6404494382022472,0.9544233104304,0.25501871630407885,2.0
0.92,0.6404494382022472,0.9544233104304,0.25501871630407885,2.0
0.93,0.6404494382022472,0.9544233104304,0.25501871630407885,2.0
0.94,0.6404494382022472,0.9544233104304,0.25501871630407885,2.0
0.95,0.6404494382022472,0.9544233104304,0.25501871630407885,2.0
